root	source	requirement	installed_version	status
/Users/renatosocodato/.claude/plugins/marketplaces/claude-scientific-writer	pyproject.toml	claude-agent-sdk>=0.1.0	0.1.41	satisfied
/Users/renatosocodato/.claude/plugins/marketplaces/claude-scientific-writer	pyproject.toml	python-dotenv>=1.0.0	1.2.1	satisfied
/Users/renatosocodato/.claude/plugins/marketplaces/claude-scientific-writer	pyproject.toml	requests>=2.31.0	2.32.5	satisfied
/Users/renatosocodato/.claude/plugins/marketplaces/claude-scientific-writer	pyproject.toml	pymupdf>=1.24.0	1.27.1	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper	requirements.txt	numpy==1.26.4	1.26.4	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper	requirements.txt	pandas==2.3.3	2.3.3	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper	requirements.txt	PyYAML==6.0.1	6.0.1	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper	requirements.txt	pyro-ppl==1.9.1	1.9.1	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper	requirements.txt	scikit-learn==1.8.0	1.8.0	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper	requirements.txt	scipy==1.16.3	1.16.3	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper	requirements.txt	statsmodels==0.14.6	0.14.6	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper	requirements.txt	torch==2.9.1	2.9.1	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper	requirements.txt	pytorch-lightning==2.6.0	2.6.0	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper	requirements.txt	imageio==2.34.1	2.34.1	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper	requirements.txt	imageio-ffmpeg==0.4.9	0.4.9	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper	requirements.txt	matplotlib==3.10.8	3.10.8	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper_RECOVERY_WORK/repo_from_bundle	requirements.txt	numpy==1.26.4	1.26.4	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper_RECOVERY_WORK/repo_from_bundle	requirements.txt	pandas==2.3.3	2.3.3	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper_RECOVERY_WORK/repo_from_bundle	requirements.txt	PyYAML==6.0.1	6.0.1	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper_RECOVERY_WORK/repo_from_bundle	requirements.txt	pyro-ppl==1.9.1	1.9.1	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper_RECOVERY_WORK/repo_from_bundle	requirements.txt	scikit-learn==1.8.0	1.8.0	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper_RECOVERY_WORK/repo_from_bundle	requirements.txt	scipy==1.16.3	1.16.3	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper_RECOVERY_WORK/repo_from_bundle	requirements.txt	statsmodels==0.14.6	0.14.6	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper_RECOVERY_WORK/repo_from_bundle	requirements.txt	torch==2.9.1	2.9.1	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper_RECOVERY_WORK/repo_from_bundle	requirements.txt	pytorch-lightning==2.6.0	2.6.0	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper_RECOVERY_WORK/repo_from_bundle	requirements.txt	imageio==2.34.1	2.34.1	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper_RECOVERY_WORK/repo_from_bundle	requirements.txt	imageio-ffmpeg==0.4.9	0.4.9	satisfied
/Users/renatosocodato/Desktop/CDC42_microglia_paper_RECOVERY_WORK/repo_from_bundle	requirements.txt	matplotlib==3.10.8	3.10.8	satisfied
