root	python_status	r_status	conda_status
/Users/renatosocodato/.claude/plugins/cache/claude-scientific-writer/claude-scientific-writer/2ae9407efbb2	ok	n/a	n/a
/Users/renatosocodato/.claude/plugins/marketplaces/claude-scientific-writer	ok		
/Users/renatosocodato/Desktop/CDC42_microglia_paper	ok	ok	
/Users/renatosocodato/Desktop/CDC42_microglia_paper_RECOVERY_WORK/repo_from_bundle	ok	ok	
/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/spatial_integration_archive/code/MALDI2Alz/pyImagingMSpec	ok	n/a	n/a
/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/maldi2alz/MALDI2Alz			ok
/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/thermocausality_mtce_omics_mirror_2026-02-04/phase23_collective_intelligence_omics_mirror/maldi2alz/MALDI2Alz/pyImagingMSpec	ok	n/a	n/a
/Users/renatosocodato/PFn1 5xFAD/spatial_integration/code/MALDI2Alz/pyImagingMSpec	ok	n/a	n/a
/Users/renatosocodato/cdc42_2p_fvsm_velocities	ok	ok	
/Users/renatosocodato/cyto_kb	ok		
/Users/renatosocodato/external data_cathalog	ok		ok
/Users/renatosocodato/thermocausality_mtce	partial_or_fail		partial
/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence/maldi2alz/MALDI2Alz			ok
/Users/renatosocodato/thermocausality_mtce/phase23_collective_intelligence/maldi2alz/MALDI2Alz/pyImagingMSpec	ok	n/a	n/a
