source_path	accession_or_equivalent	origin_repo_domain	origin_reference_url	google_drive_destination	provenance_status
/Users/renatosocodato/.cmdstan	tooling/compute cache	N/A	N/A	N/A	deleted|not_archived
/Users/renatosocodato/.colima	tooling/compute cache	N/A	N/A	N/A	deleted|not_archived
/Users/renatosocodato/.colima/_lima/_disks/colima/datadisk	tooling/compute cache	N/A	N/A	N/A	deleted|not_archived
/Users/renatosocodato/.npm	tooling/compute cache	N/A	N/A	N/A	deleted|not_archived
/Users/renatosocodato/Desktop/CDC42_microglia_paper	local project bundle (CDC42_microglia_paper)	N/A	N/A	N/A	deleted|not_archived
/Users/renatosocodato/Downloads	N/A	N/A	N/A	N/A	delete_blocked_permission|not_archived
/Users/renatosocodato/Downloads/ActinMicrotub	local dataset bundle (ActinMicrotub)	N/A	N/A	N/A	deleted|not_archived
/Users/renatosocodato/Downloads/~	N/A	N/A	N/A	N/A	deleted|not_archived
/Users/renatosocodato/Library/Application Support/Claude	tooling/compute cache	N/A	N/A	N/A	deleted|not_archived
/Users/renatosocodato/Library/Caches/Google	tooling/compute cache	N/A	N/A	N/A	deleted|not_archived
/Users/renatosocodato/Library/Caches/Homebrew	tooling/compute cache	N/A	N/A	N/A	deleted|not_archived
/Users/renatosocodato/Library/Caches/colima	tooling/compute cache	N/A	N/A	N/A	deleted|not_archived
/Users/renatosocodato/Library/Caches/com.anthropic.claudefordesktop.ShipIt	tooling/compute cache	N/A	N/A	N/A	deleted|not_archived
/Users/renatosocodato/Library/Caches/com.openai.atlas	tooling/compute cache	N/A	N/A	N/A	deleted|not_archived
/Users/renatosocodato/Library/Caches/ms-playwright	tooling/compute cache	N/A	N/A	N/A	deleted|not_archived
/Users/renatosocodato/Library/Caches/org.R-project.R	tooling/compute cache	N/A	N/A	N/A	delete_blocked_permission|not_archived
/Users/renatosocodato/Library/Caches/pip	tooling/compute cache	N/A	N/A	N/A	deleted|not_archived
/Users/renatosocodato/Library/R	tooling/compute cache	N/A	N/A	N/A	deleted|not_archived
/Users/renatosocodato/PFn1 5xFAD	GSE209583, GSE233208	www.ncbi.nlm.nih.gov	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	N/A	deleted|not_archived
/Users/renatosocodato/PFn1 5xFAD/fasterq.tmp.Renatos-MacBook-Pro-2.local.95902	GSE209583, GSE233208	www.ncbi.nlm.nih.gov	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	N/A	deleted|not_archived
/Users/renatosocodato/PFn1 5xFAD/fasterq.tmp.Renatos-MacBook-Pro-2.local.99857	GSE209583, GSE233208	www.ncbi.nlm.nih.gov	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	N/A	deleted|not_archived
