source_path	source_size_bytes	source_size_gib	purge_method	purge_status	archive_status	verification	archive_destination_google_drive	provenance_type	provenance_reference_id	provenance_reference_url	run_source_note
/Users/renatosocodato/PFn1 5xFAD/fasterq.tmp.Renatos-MacBook-Pro-2.local.95902	22718447616	21.158	rm -rf	deleted	not_archived	exists_before		local_project	PFn1 5xFAD project root	N/A	phase2_high_confidence_temp_or_cache
/Users/renatosocodato/PFn1 5xFAD/fasterq.tmp.Renatos-MacBook-Pro-2.local.99857	40021626880	37.273	rm -rf	deleted	not_archived	exists_before		local_project	PFn1 5xFAD project root	N/A	phase2_high_confidence_temp_or_cache
/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase17/fasterq.tmp.Renatos-MacBook-Pro-2.local.8906	40021626880	37.273	rm -rf	deleted	not_archived	exists_before		local_project	PFn1 5xFAD project root	N/A	phase2_high_confidence_temp_or_cache
/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase17/fasterq.tmp.Renatos-MacBook-Pro-2.local.9163	28352106496	26.405	rm -rf	deleted	not_archived	exists_before		local_project	PFn1 5xFAD project root	N/A	phase2_high_confidence_temp_or_cache
/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase17/fasterq.tmp.Renatos-MacBook-Pro-2.local.9229	46745223168	43.535	rm -rf	deleted	not_archived	exists_before		local_project	PFn1 5xFAD project root	N/A	phase2_high_confidence_temp_or_cache
/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase17/fasterq.tmp.Renatos-MacBook-Pro-2.local.9292	39352111104	36.650	rm -rf	deleted	not_archived	exists_before		local_project	PFn1 5xFAD project root	N/A	phase2_high_confidence_temp_or_cache
/Users/renatosocodato/.colima/_lima/_disks/colima/datadisk	51645382656	48.099	rm -rf	deleted	not_archived	exists_before		system_cache_or_tooling	tool cache/system state	N/A	phase2_high_confidence_temp_or_cache
/Users/renatosocodato/Downloads/~	35518406656	33.079	rm -rf	deleted	not_archived	exists_before		local_path	local source path	N/A	phase2_high_confidence_temp_or_cache
/Users/renatosocodato/Library/Caches/Homebrew	4055343104	3.777	rm -rf	deleted	not_archived	exists_before		system_cache_or_tooling	tool cache/system state	N/A	phase2_high_confidence_temp_or_cache
/Users/renatosocodato/Library/Caches/pip	1976635392	1.841	rm -rf	deleted	not_archived	exists_before		system_cache_or_tooling	tool cache/system state	N/A	phase2_high_confidence_temp_or_cache
/Users/renatosocodato/Library/Caches/com.openai.atlas	1947688960	1.814	rm -rf	deleted	not_archived	exists_before		system_cache_or_tooling	tool cache/system state	N/A	phase2_high_confidence_temp_or_cache
/Users/renatosocodato/Library/Caches/org.R-project.R	1931120640	1.798	rm -rf	delete_blocked_permission	not_archived	exists_before		system_cache_or_tooling	tool cache/system state	N/A	still_exists_after_rm; permission_denied on nested R/renv sandbox directories
/Users/renatosocodato/Library/Caches/colima	1557823488	1.451	rm -rf	deleted	not_archived	exists_before		system_cache_or_tooling	tool cache/system state	N/A	phase2_high_confidence_temp_or_cache
/Users/renatosocodato/Library/Caches/Google	986025984	0.918	rm -rf	deleted	not_archived	exists_before		system_cache_or_tooling	tool cache/system state	N/A	phase2_high_confidence_temp_or_cache
/Users/renatosocodato/Library/Caches/com.anthropic.claudefordesktop.ShipIt	591708160	0.551	rm -rf	deleted	not_archived	exists_before		system_cache_or_tooling	tool cache/system state	N/A	phase2_high_confidence_temp_or_cache
/Users/renatosocodato/Library/Caches/ms-playwright	536084480	0.499	rm -rf	deleted	not_archived	exists_before		system_cache_or_tooling	tool cache/system state	N/A	phase2_high_confidence_temp_or_cache
/Users/renatosocodato/amanda sierra_colab/data/devvis/DevVIS_multiome_snRNA_processed.h5ad	5963488807	5.554	rm -f	deleted	archived_to_google_drive	archived_size_verified	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/_disk_reclaim_archive_2026-02-22/repo_phase1_h5ad/DevVIS_multiome_snRNA_processed.h5ad	local_processed_asset	local derived from DevVIS sc/snRNA reference	N/A (source path recorded)	phase1_repo_archive_verified
/Users/renatosocodato/amanda sierra_colab/data/atlas/Developing-Mouse-Vis-Cortex-10X-raw.h5ad	7336722014	6.833	rm -f	deleted	archived_to_google_drive	archived_size_verified	/Users/renatosocodato/Library/CloudStorage/GoogleDrive-renato.socodato@gmail.com/My Drive/_disk_reclaim_archive_2026-02-22/repo_phase1_h5ad/Developing-Mouse-Vis-Cortex-10X-raw.h5ad	local_processed_asset	local derived from developing mouse visual-cortex reference	N/A (source path recorded)	phase1_repo_archive_verified
