source_path	source_size_gib	purge_status	archive_status	source_type	origin_equivalent_id	origin_repository	origin_url	google_drive_destination	provenance_notes
/Users/renatosocodato/PFn1 5xFAD/fasterq.tmp.Renatos-MacBook-Pro-2.local.95902	21.158	deleted	not_archived	local_project	GSE209583, GSE233208	NCBI GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	N/A	Purged per phase3_capacity_priority_no_separate_archive_volume; contains multiple pipeline outputs and intermediate files.
/Users/renatosocodato/PFn1 5xFAD/fasterq.tmp.Renatos-MacBook-Pro-2.local.99857	37.273	deleted	not_archived	local_project	GSE209583, GSE233208	NCBI GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	N/A	Purged per phase3_capacity_priority_no_separate_archive_volume; contains multiple pipeline outputs and intermediate files.
/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase17/fasterq.tmp.Renatos-MacBook-Pro-2.local.8906	37.273	deleted	not_archived	local_project	GSE209583, GSE233208	NCBI GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	N/A	Purged per phase3_capacity_priority_no_separate_archive_volume; contains multiple pipeline outputs and intermediate files.
/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase17/fasterq.tmp.Renatos-MacBook-Pro-2.local.9163	26.405	deleted	not_archived	local_project	GSE209583, GSE233208	NCBI GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	N/A	Purged per phase3_capacity_priority_no_separate_archive_volume; contains multiple pipeline outputs and intermediate files.
/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase17/fasterq.tmp.Renatos-MacBook-Pro-2.local.9229	43.535	deleted	not_archived	local_project	GSE209583, GSE233208	NCBI GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	N/A	Purged per phase3_capacity_priority_no_separate_archive_volume; contains multiple pipeline outputs and intermediate files.
/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase17/fasterq.tmp.Renatos-MacBook-Pro-2.local.9292	36.650	deleted	not_archived	local_project	GSE209583, GSE233208	NCBI GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	N/A	Purged per phase3_capacity_priority_no_separate_archive_volume; contains multiple pipeline outputs and intermediate files.
/Users/renatosocodato/.colima/_lima/_disks/colima/datadisk	48.099	deleted	not_archived	system_cache_or_tooling	tooling/compute cache	local system cache	N/A	N/A	Runtime cache or local environment artifact; no external accession applicable.
/Users/renatosocodato/Downloads/~	33.079	deleted	not_archived	local_path	N/A	N/A	N/A	N/A	Mapped from reclaim manifest; no external accession found.
/Users/renatosocodato/Library/Caches/Homebrew	3.777	deleted	not_archived	system_cache_or_tooling	tooling/compute cache	local system cache	N/A	N/A	Runtime cache or local environment artifact; no external accession applicable.
/Users/renatosocodato/Library/Caches/pip	1.841	deleted	not_archived	system_cache_or_tooling	tooling/compute cache	local system cache	N/A	N/A	Runtime cache or local environment artifact; no external accession applicable.
