run_id	source_path	source_size_gib	source_type	purge_status	archive_status	accession_or_equivalent	origin_platform	public_repository_class	origin_reference_url	google_drive_destination	archive_destination_present	archive_destination_verified	audit_status	audit_gap
reclaim_run_2026-02-22	/Users/renatosocodato/PFn1 5xFAD/fasterq.tmp.Renatos-MacBook-Pro-2.local.95902	21.158	local_project	deleted	not_archived	GSE209583, GSE233208	NCBI GEO	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	N/A	not_applicable	not_applicable	pass	
reclaim_run_2026-02-22	/Users/renatosocodato/PFn1 5xFAD/fasterq.tmp.Renatos-MacBook-Pro-2.local.99857	37.273	local_project	deleted	not_archived	GSE209583, GSE233208	NCBI GEO	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	N/A	not_applicable	not_applicable	pass	
reclaim_run_2026-02-22	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase17/fasterq.tmp.Renatos-MacBook-Pro-2.local.8906	37.273	local_project	deleted	not_archived	GSE209583, GSE233208	NCBI GEO	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	N/A	not_applicable	not_applicable	pass	
reclaim_run_2026-02-22	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase17/fasterq.tmp.Renatos-MacBook-Pro-2.local.9163	26.405	local_project	deleted	not_archived	GSE209583, GSE233208	NCBI GEO	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	N/A	not_applicable	not_applicable	pass	
reclaim_run_2026-02-22	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase17/fasterq.tmp.Renatos-MacBook-Pro-2.local.9229	43.535	local_project	deleted	not_archived	GSE209583, GSE233208	NCBI GEO	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	N/A	not_applicable	not_applicable	pass	
reclaim_run_2026-02-22	/Users/renatosocodato/PFn1 5xFAD/spatial_integration/phase17/fasterq.tmp.Renatos-MacBook-Pro-2.local.9292	36.650	local_project	deleted	not_archived	GSE209583, GSE233208	NCBI GEO	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233208 (primary external phase-7 source), GSE209583 (also used in phase-7 workflow)	N/A	not_applicable	not_applicable	pass	
reclaim_run_2026-02-22	/Users/renatosocodato/.colima/_lima/_disks/colima/datadisk	48.099	system_cache_or_tooling	deleted	not_archived	tooling/compute cache	local system cache	N/A	N/A	N/A	not_applicable	not_applicable	pass	
reclaim_run_2026-02-22	/Users/renatosocodato/Downloads/~	33.079	local_path	deleted	not_archived	N/A	N/A	N/A	N/A	N/A	not_applicable	not_applicable	pass	
reclaim_run_2026-02-22	/Users/renatosocodato/Library/Caches/Homebrew	3.777	system_cache_or_tooling	deleted	not_archived	tooling/compute cache	local system cache	N/A	N/A	N/A	not_applicable	not_applicable	pass	
reclaim_run_2026-02-22	/Users/renatosocodato/Library/Caches/pip	1.841	system_cache_or_tooling	deleted	not_archived	tooling/compute cache	local system cache	N/A	N/A	N/A	not_applicable	not_applicable	pass	
reclaim_run_2026-02-22	/Users/renatosocodato/Library/Caches/com.openai.atlas	1.814	system_cache_or_tooling	deleted	not_archived	tooling/compute cache	local system cache	N/A	N/A	N/A	not_applicable	not_applicable	pass	
reclaim_run_2026-02-22	/Users/renatosocodato/Library/Caches/org.R-project.R	1.798	system_cache_or_tooling	delete_blocked_permission	not_archived	tooling/compute cache	local system cache	N/A	N/A	N/A	not_applicable	not_applicable	pass	
reclaim_run_2026-02-22	/Users/renatosocodato/Library/Caches/colima	1.451	system_cache_or_tooling	deleted	not_archived	tooling/compute cache	local system cache	N/A	N/A	N/A	not_applicable	not_applicable	pass	
