run_id	source_path	source_type	source_size_gib	purge_status	archive_status	origin_repository_class	public_repository_class	origin_platform	origin_reference_url	origin_reference_class_inferred	accession_or_equivalent	origin_evidence_type	google_drive_destination	provenance_note_registry	provenance_note_ledger	provenance_note_depth	purge_manifest_status	archive_manifest_status	archive_source_path_match	archive_dest_match	audit_status	audit_gap
reclaim_run_2026-02-22	/Users/renatosocodato/.cmdstan	system_cache_or_tooling	0.457	deleted	not_archived	local-only	local-only	local system cache	N/A	missing	tooling/compute cache	none	N/A	Runtime cache or local environment artifact; no external accession applicable.	Runtime cache or local environment artifact; no external accession applicable.	Runtime cache or local environment artifact; no external accession applicable.	deleted	not_archived	no		pass	
reclaim_run_2026-02-22	/Users/renatosocodato/.colima	system_cache_or_tooling	1.622	deleted	not_archived	local-only	local-only	local system cache	N/A	missing	tooling/compute cache	none	N/A	Runtime cache or local environment artifact; no external accession applicable.	Runtime cache or local environment artifact; no external accession applicable.	Runtime cache or local environment artifact; no external accession applicable.	deleted	not_archived	no		pass	
reclaim_run_2026-02-22	/Users/renatosocodato/.colima/_lima/_disks/colima/datadisk	system_cache_or_tooling	48.099	deleted	not_archived	local-only	local-only	local system cache	N/A	missing	tooling/compute cache	none	N/A	Runtime cache or local environment artifact; no external accession applicable.	Runtime cache or local environment artifact; no external accession applicable.	Runtime cache or local environment artifact; no external accession applicable.	deleted	not_archived	no		pass	
reclaim_run_2026-02-22	/Users/renatosocodato/.npm	system_cache_or_tooling	2.020	deleted	not_archived	local-only	local-only	local system cache	N/A	missing	tooling/compute cache	none	N/A	Runtime cache or local environment artifact; no external accession applicable.	Runtime cache or local environment artifact; no external accession applicable.	Runtime cache or local environment artifact; no external accession applicable.	deleted	not_archived	no		pass	
reclaim_run_2026-02-22	/Users/renatosocodato/Desktop/CDC42_microglia_paper	local_project	35.127	deleted	not_archived	local-only	local-only	local project workspace	N/A	missing	local project bundle (CDC42_microglia_paper)	none	N/A	No single external identifier found in local manifests at consolidation time.	No single external identifier found in local manifests at consolidation time.	No single external identifier found in local manifests at consolidation time.	deleted	not_archived	no		pass	
reclaim_run_2026-02-22	/Users/renatosocodato/Downloads	system_cache_or_tooling	11.321	delete_blocked_permission	not_archived	local-only	local-only	N/A	N/A	missing	N/A	none	N/A	Mapped from reclaim manifest; no external accession found.	Mapped from reclaim manifest; no external accession found.	Mapped from reclaim manifest; no external accession found.	delete_blocked_permission	not_archived	no		pass	
reclaim_run_2026-02-22	/Users/renatosocodato/Downloads/ActinMicrotub	local_project	61.353	deleted	not_archived	local-only	local-only	local workspace / local dataset cache	N/A	missing	local dataset bundle (ActinMicrotub)	none	N/A	No single external identifier captured in consolidation artifacts.	No single external identifier captured in consolidation artifacts.	No single external identifier captured in consolidation artifacts.	deleted	not_archived	no		pass	
reclaim_run_2026-02-22	/Users/renatosocodato/Downloads/~	local_path	33.079	deleted	not_archived	local-only	local-only	N/A	N/A	missing	N/A	none	N/A	Mapped from reclaim manifest; no external accession found.	Mapped from reclaim manifest; no external accession found.	Mapped from reclaim manifest; no external accession found.	deleted	not_archived	no		pass	
reclaim_run_2026-02-22	/Users/renatosocodato/Library/Application Support/Claude	system_cache_or_tooling	18.341	deleted	not_archived	local-only	local-only	local system cache	N/A	missing	tooling/compute cache	none	N/A	Runtime cache or local environment artifact; no external accession applicable.	Runtime cache or local environment artifact; no external accession applicable.	Runtime cache or local environment artifact; no external accession applicable.	deleted	not_archived	no		pass	
reclaim_run_2026-02-22	/Users/renatosocodato/Library/Caches/Google	system_cache_or_tooling	0.918	deleted	not_archived	local-only	local-only	local system cache	N/A	missing	tooling/compute cache	none	N/A	Runtime cache or local environment artifact; no external accession applicable.	Runtime cache or local environment artifact; no external accession applicable.	Runtime cache or local environment artifact; no external accession applicable.	deleted	not_archived	no		pass	
reclaim_run_2026-02-22	/Users/renatosocodato/Library/Caches/Homebrew	system_cache_or_tooling	3.777	deleted	not_archived	local-only	local-only	local system cache	N/A	missing	tooling/compute cache	none	N/A	Runtime cache or local environment artifact; no external accession applicable.	Runtime cache or local environment artifact; no external accession applicable.	Runtime cache or local environment artifact; no external accession applicable.	deleted	not_archived	no		pass	
reclaim_run_2026-02-22	/Users/renatosocodato/Library/Caches/colima	system_cache_or_tooling	1.451	deleted	not_archived	local-only	local-only	local system cache	N/A	missing	tooling/compute cache	none	N/A	Runtime cache or local environment artifact; no external accession applicable.	Runtime cache or local environment artifact; no external accession applicable.	Runtime cache or local environment artifact; no external accession applicable.	deleted	not_archived	no		pass	
reclaim_run_2026-02-22	/Users/renatosocodato/Library/Caches/com.anthropic.claudefordesktop.ShipIt	system_cache_or_tooling	0.551	deleted	not_archived	local-only	local-only	local system cache	N/A	missing	tooling/compute cache	none	N/A	Runtime cache or local environment artifact; no external accession applicable.	Runtime cache or local environment artifact; no external accession applicable.	Runtime cache or local environment artifact; no external accession applicable.	deleted	not_archived	no		pass	
reclaim_run_2026-02-22	/Users/renatosocodato/Library/Caches/com.openai.atlas	system_cache_or_tooling	1.814	deleted	not_archived	local-only	local-only	local system cache	N/A	missing	tooling/compute cache	none	N/A	Runtime cache or local environment artifact; no external accession applicable.	Runtime cache or local environment artifact; no external accession applicable.	Runtime cache or local environment artifact; no external accession applicable.	deleted	not_archived	no		pass	
reclaim_run_2026-02-22	/Users/renatosocodato/Library/Caches/ms-playwright	system_cache_or_tooling	0.499	deleted	not_archived	local-only	local-only	local system cache	N/A	missing	tooling/compute cache	none	N/A	Runtime cache or local environment artifact; no external accession applicable.	Runtime cache or local environment artifact; no external accession applicable.	Runtime cache or local environment artifact; no external accession applicable.	deleted	not_archived	no		pass	
reclaim_run_2026-02-22	/Users/renatosocodato/Library/Caches/org.R-project.R	system_cache_or_tooling	1.798	delete_blocked_permission	not_archived	local-only	local-only	local system cache	N/A	missing	tooling/compute cache	none	N/A	Runtime cache or local environment artifact; no external accession applicable.	Runtime cache or local environment artifact; no external accession applicable.	Runtime cache or local environment artifact; no external accession applicable.	delete_blocked_permission	not_archived	no		pass	
reclaim_run_2026-02-22	/Users/renatosocodato/Library/Caches/pip	system_cache_or_tooling	1.841	deleted	not_archived	local-only	local-only	local system cache	N/A	missing	tooling/compute cache	none	N/A	Runtime cache or local environment artifact; no external accession applicable.	Runtime cache or local environment artifact; no external accession applicable.	Runtime cache or local environment artifact; no external accession applicable.	deleted	not_archived	no		pass	
