size_bytes_before	path
267980	/Users/renatosocodato/thermocausality_mtce/.venv
1916	/Users/renatosocodato/thermocausality_mtce/phase14_input_CORRECTED_FRAME_LEVEL.csv
220	/Users/renatosocodato/thermocausality_mtce/.git
76	/Users/renatosocodato/thermocausality_mtce/phase14_input_CORRECTED.csv
44	/Users/renatosocodato/thermocausality_mtce/PHASES_19_23_COMPLETION_SUMMARY.md
40	/Users/renatosocodato/thermocausality_mtce/COMPLIANCE_STATUS.md
32	/Users/renatosocodato/thermocausality_mtce/PHASES_18_23_COMPLETION_SUMMARY.md
24	/Users/renatosocodato/thermocausality_mtce/PHASE_16_EXTENSIONS_COMPLETE_REPORT.md
24	/Users/renatosocodato/thermocausality_mtce/PHASE_15_FINAL_REPORT.md
24	/Users/renatosocodato/thermocausality_mtce/PHASES_18_23_VALIDATION_AND_CORRECTIONS.md
24	/Users/renatosocodato/thermocausality_mtce/PHASE14_FRAME_LEVEL_RESULTS_REPORT.md
24	/Users/renatosocodato/thermocausality_mtce/GOVERNANCE_PRIMARY_ANALYSIS_MODE.md
20	/Users/renatosocodato/thermocausality_mtce/PHASE_16_ADVANCED_EXTENSIONS_PROPOSAL.md
20	/Users/renatosocodato/thermocausality_mtce/PHASE_14_ALL_30_COMPARISONS_FINAL.md
20	/Users/renatosocodato/thermocausality_mtce/PHASE_08_FINAL_PRIMARY.md
20	/Users/renatosocodato/thermocausality_mtce/PHASE_08_ALL_15_COMPARISONS_FINAL.md
20	/Users/renatosocodato/thermocausality_mtce/PHASE14_IMPLEMENTATION_SUMMARY.md
20	/Users/renatosocodato/thermocausality_mtce/PHASE14_EXECUTION_REPORT.md
20	/Users/renatosocodato/thermocausality_mtce/MANUSCRIPT_RECONCILED_LANGUAGE.md
20	/Users/renatosocodato/thermocausality_mtce/MANUSCRIPT_CLAIMS_INVENTORY.md
20	/Users/renatosocodato/thermocausality_mtce/GOVERNANCE_DATA_PROVENANCE.md
20	/Users/renatosocodato/thermocausality_mtce/GOVERNANCE_COMPLETE_SUMMARY.md
16	/Users/renatosocodato/thermocausality_mtce/TRAJECTORY_LEVEL_ROBUSTNESS_REPORT.md
16	/Users/renatosocodato/thermocausality_mtce/PHASE_16_REVISION_COMPLETE_SUMMARY.md
16	/Users/renatosocodato/thermocausality_mtce/PHASE_16_IMPLEMENTATION_PLAN.md
16	/Users/renatosocodato/thermocausality_mtce/PHASE_16_GOVERNANCE_COMPLIANCE.md
16	/Users/renatosocodato/thermocausality_mtce/PHASE_16_CONTRADICTIONS_AND_EXTENSIONS.md
16	/Users/renatosocodato/thermocausality_mtce/PHASE_15_STATUS.md
16	/Users/renatosocodato/thermocausality_mtce/PHASE_15_MODEL_B_SIMPLIFIED_SUMMARY.md
16	/Users/renatosocodato/thermocausality_mtce/PHASE_14_PROPAGATION_COMPLETE.md
16	/Users/renatosocodato/thermocausality_mtce/PHASE_10_ALL_45_COMPARISONS_FINAL.md
16	/Users/renatosocodato/thermocausality_mtce/PHASE_08_PHENOTYPE_SUMMARY.md
16	/Users/renatosocodato/thermocausality_mtce/PHASES_18_23_AUDIT_REPORT.json
16	/Users/renatosocodato/thermocausality_mtce/PHASE8-14_DATA_AUDIT_REPORT.md
16	/Users/renatosocodato/thermocausality_mtce/PHASE14_VISUALIZATION_SUMMARY.md
16	/Users/renatosocodato/thermocausality_mtce/PHASE14_CORRECTED_RESULTS_REPORT.md
16	/Users/renatosocodato/thermocausality_mtce/PHASE14_CONTEXT_SPECIFIC_REPORT.md
16	/Users/renatosocodato/thermocausality_mtce/PASS_C_COMPLETION_SUMMARY.md
16	/Users/renatosocodato/thermocausality_mtce/FORBIDDEN_PHASES_FIX_REPORT.md
16	/Users/renatosocodato/thermocausality_mtce/CONSISTENCY_ENGINE_FINAL_REPORT.md
12	/Users/renatosocodato/thermocausality_mtce/PROJECT_COMPLETE_FINAL_SUMMARY.md
12	/Users/renatosocodato/thermocausality_mtce/PHASE_16_FINAL_SUMMARY.md
12	/Users/renatosocodato/thermocausality_mtce/PHASE_16_ADVANCED_EXTENSIONS_FINAL_REPORT.md
12	/Users/renatosocodato/thermocausality_mtce/PHASE_15_MODEL_A_SUMMARY.md
12	/Users/renatosocodato/thermocausality_mtce/PHASE_15_COMPLETE_SUMMARY.md
12	/Users/renatosocodato/thermocausality_mtce/PHASE_13_PROPAGATION_COMPLETE.md
12	/Users/renatosocodato/thermocausality_mtce/PHASES_9-14_FINAL_SUMMARY.md
12	/Users/renatosocodato/thermocausality_mtce/PHASES_18_23_ROBUSTNESS_CLASSIFICATION.md
12	/Users/renatosocodato/thermocausality_mtce/PHASE14_LMM_MODEL_SUMMARY.md
12	/Users/renatosocodato/thermocausality_mtce/MANUSCRIPT_READINESS_FINAL.md
12	/Users/renatosocodato/thermocausality_mtce/GOVERNANCE_DATA_PROVENANCE_LOCK_SUMMARY.md
12	/Users/renatosocodato/thermocausality_mtce/FINAL_FRAME_LEVEL_HIERARCHY.md
8	/Users/renatosocodato/thermocausality_mtce/VERIFICATION_COMPLETE.md
8	/Users/renatosocodato/thermocausality_mtce/VALIDATION_EXECUTIVE_SUMMARY.md
8	/Users/renatosocodato/thermocausality_mtce/PRIMARY_ANALYSIS_QUICK_REFERENCE.md
8	/Users/renatosocodato/thermocausality_mtce/PHASE_16D_THEORETICAL_PUZZLE.md
8	/Users/renatosocodato/thermocausality_mtce/PHASE_16B_BREAKTHROUGH.md
8	/Users/renatosocodato/thermocausality_mtce/PHASE_15_EXECUTIVE_SUMMARY.md
8	/Users/renatosocodato/thermocausality_mtce/PHASE_12_PROPAGATION_COMPLETE.md
8	/Users/renatosocodato/thermocausality_mtce/PHASE_11_TUR_REVISION_REPORT.md
8	/Users/renatosocodato/thermocausality_mtce/PHASE_11_BUG_FIX_COMPLETION_REPORT.md
8	/Users/renatosocodato/thermocausality_mtce/PHASES_9-14_REVISION_PROGRESS.md
8	/Users/renatosocodato/thermocausality_mtce/PHASE8-9_IMPLEMENTATION_STATUS.md
8	/Users/renatosocodato/thermocausality_mtce/GOVERNANCE_TIMESCALE_SPECIFICATION.md
